C000001	AA_DNA_MUTATION_SIGNATURE
C000694	CRDB_INIT_DX_SUB_SUB_HIST
C000695	CRDB_INIT_DX_SUB_SUB_SITE
C000696	CRDB_INIT_DX_SUB_SUB_SUB_HIST
C000697	CRDB_INIT_DX_T_STAGE
C000698	CRDB_INIT_DX_T_STAGE_DSCRP
C000699	CRDB_NOSYSTXT
C000700	CRDB_OFF_STUDY_DAYS
C000701	CRDB_PRIM_DISEASE_12245
C000702	CRDB_PRIOR_RX
C000703	CRDB_QS_DATE
C000704	CRDB_SURVEY_COMMENTS
C000705	CRDB_SURVIVAL_STATUS
C000706	CRDB_TREATMENT_END_DAYS
C000707	CREATININE
C000708	CREATININE_LEVEL_PRERESECTION
C000709	CREATININE_NORMAL_RANGE_LOWER
C000710	CREATININE_NORMAL_RANGE_UPPER
C000711	CREATININE_NORM_RANGE_LOWER
C000712	CREATININE_NORM_RANGE_UPPER
C000713	CREATININE_PRIOR_TX
C000714	CRITERIA
C000715	CRX
C000716	CR_STATUS_AT_END_OF_COURSE_1
C000717	CR_STATUS_AT_END_OF_COURSE_2
C000718	CSDE1_SOMATIC
C000719	CTCF_MUTATION_STATUS
C000720	CTNNB1_DELETION
C000721	CTNNB1_MUTATION
C000722	CT_ABDOMEN
C000723	CT_CAP
C000724	CT_CHEST
C000725	CT_SCAN_AB_PELVIS_INDICATOR
C000726	CT_SCAN_AB_PELVIS_RESULTS
C000727	CT_SCAN_PERFORMED
C000728	CT_SCAN_PREOP_RESULTS
C000729	CT_SLICE_SPACING
C000730	CUD_CATEGORY
C000731	CULTURE_PROPERTIES
C000732	CURATIVE
C000733	CURRENT_CLINICAL_STATUS
C000734	CURRENT_PDX_PASSAGE
C000735	CYSTECTOMY_N_STAGE
C000736	CYSTECTOMY_PRIMARY_HISTOLOGY
C000737	CYSTECTOMY_T_STAGE
C000738	CYSTECTOMY_VARIANT_HISTOLOGY
C000739	CYST_SIZE
C000740	CYTOGENETICS
C000741	CYTOGENETICS_CATEGORY
C000742	CYTOGENETIC_ABNORMALITY_TYPE
C000743	CYTOGENETIC_CODE_OTHER
C000744	CYTOGENETIC_CODE_OTHER
C000745	CYTOGENETIC_COMPLEXITY
C000746	CYTOGENETIC_RELAPSE_SITE
C000747	CYTOLOGICAL_PHENOTYPE
C000748	CYTOLOGY
C000749	CYTOLYTIC_SCORE
C000750	CYTOPLASM_PRESENCE_LESS_THAN_EQUAL_25_PERCENT
C000751	CYTOREDUCTIVE_SURGERY
C000752	CYTOTOXIC_TREATMENT
C000753	C_A
C000754	C_G
C000755	C_N_STAGE
C000756	C_SAMP_METH_K3
C000757	C_SAMP_MIRNA_K4
C000758	C_SAMP_MIRNA_K6
C000759	C_SAMP_MRNA_K4
C000760	C_SAMP_SCNA_CLUSTER
C000761	C_T
C000762	DAILY_ALCOHOL
C000763	DARK
C000764	DARK_ZONE_STAT
C000765	DARWIN_AGE_AT_DIAGNOSIS
C000766	DARWIN_PATIENT_AGE
C000767	DARWIN_RACE
C000768	DARWIN_RELIGION
C000769	DARWIN_SEX
C000770	DARWIN_VITAL_STATUS
C000771	DATA
C000772	DATA_CORE_SAMPLE
C000773	DATA_FREEZE_STATUS
C000774	DATA_SOURCE
C000775	DATE_ADDED
C000776	DATE_ADDITIONAL_CLINICAL_DATA_ADDED
C000777	DATE_OF_BIOPSY
C000778	DATE_OF_BIOPSY_RELAPSE
C000779	DATE_OF_DIAGNOSIS
C000780	DAXX_STATUS
C000781	DAYS_FROM_SURGERY_TO_DEATH
C000782	DAYS_FROM_SURGERY_TO_LAST_FOLLOWUP
C000783	DAYS_FROM_SURGERY_TO_RECURRENCE
C000784	DAYS_LAST_FOLLOWUP
C000785	DAYS_METASTATIC
C000786	DAYS_TO_ADDITIONAL_SURGERY_METASTATIC_PROCEDURE
C000787	DAYS_TO_BILATERAL_TUMOR_DX
C000788	DAYS_TO_BIOCHEMICAL_RECURRENCE_FIRST
C000789	DAYS_TO_BIRTH
C000790	DAYS_TO_BONE_SCAN_PERFORMED
C000791	DAYS_TO_CELL_SURFACE_MARKER_TEST
C000792	DAYS_TO_COLLECTION
C000793	DAYS_TO_CT_SCAN_AB_PELVIS
C000794	DAYS_TO_DEATH
C000795	DAYS_TO_DEFINITIVE_SURGICAL_PROCEDURE_PERFORMED
C000796	DAYS_TO_DIAGNOSIS
C000797	DAYS_TO_DIAGNOSTIC_COMPUTED_TOMOGRAPHY_PERFORMED
C000798	DAYS_TO_DIAGNOSTIC_MRI_PERFORMED
C000799	DAYS_TO_EVENT
C000800	DAYS_TO_FDG_OR_CT_PET_PERFORMED
C000801	DAYS_TO_FIRST_BIOCHEMICAL_RECURRENCE
C000802	DAYS_TO_FIRST_SMN
C000803	DAYS_TO_HIV_DIAGNOSIS
C000804	DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS
C000805	DAYS_TO_INITIAL_SCORE_PERFOR
C000806	DAYS_TO_LABORATORY_PROCEDURE_TUMOR_MARKER_SQUAMOUS_CELL_CARCINOMA_ANTIGEN_RESULT
C000807	DAYS_TO_LAST_FOLLOWUP
C000808	DAYS_TO_LAST_KNOWN_ALIVE
C000809	DAYS_TO_MRI
C000810	DAYS_TO_NEW_TUMOR_EVENT
C000811	DAYS_TO_NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT
C000812	DAYS_TO_NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT_1
C000813	DAYS_TO_PATIENT_PROGRESSION_FREE
C000814	DAYS_TO_PERFORMANCE_STATUS_ASSESSMENT
C000815	DAYS_TO_POST_ORCHI_SERUM_TEST
C000816	DAYS_TO_PRE_ORCHI_SERUM_TEST
C000817	DAYS_TO_PSA
C000818	DAYS_TO_RESULTS
C000819	DAYS_TO_SPECIMEN_COLLECTION
C000820	DAYS_TO_TREATMENT_END
C000821	DAYS_TO_TREATMENT_START
C000822	DAYS_TO_TUMOR_PROGRESSION
C000823	DAY_TO_RELAPSE
C000824	DCIS_GRADE
C000825	DDR_MUTATION
C000826	DEATH_FROM_DISEASE
C000827	DECADRON_TREATMENT
C000828	DEFINITIVE_SURGERY
C000829	DEFINITIVE_SURGICAL_PROCEDURE
C000830	DEFINITIVE_TX_TYPE
C000831	DEL_11Q
C000832	DEL_12P13
C000833	DEL_13Q
C000834	DEL_13Q14
C000835	DEL_16Q
C000836	DEL_17Q13
C000837	DEL_1Q
C000838	DEL_20Q
C000839	DEL_4Q12
C000840	DEL_5Q
C000841	DEL_6Q
C000842	DEL_7
C000843	DEL_7Q
C000844	DEL_9Q
C000845	DEL_FEATURE
C000846	DEMIX_PURITY
C000847	DENDRITIC_CELLS_ACTIVATED
C000848	DENDRITIC_CELLS_RESTING
C000849	DERMAGRPHX_DES
C000850	DETAILED_METASTATIC_SITE
C000851	DETAILED_PRIMARY_SITE
C000852	DETAILED_SAMPLE_HISTOLOGY_CATEGORY
C000853	DETAILS_FIRST_LINE_COMMENTS
C000854	DE_NOVO_START_OUTOFFRAME
C000855	DFS_EVENT
C000856	DFS_MONTHS
C000857	DFS_STATUS
C000858	DIABETES_DIAGNOSIS_DAYS_TO
C000859	DIABETES_DIAGNOSIS_INDICATOR
C000860	DIABETES_STATUS
C000861	DIAGNOSIS
C000862	DIAGNOSTIC_CT_ABD_PELVIS_RESULT
C000863	DIAGNOSTIC_MRI_RESULT
C000864	DIAGNOSTIC_REFRACTORY_RELAPSE
C000865	DIAGNOSTIC_TYPE
C000866	DIAGNOSTIC_TYPE_DETAILED
C000867	DIAGNOSTIC_TYPE_SITE
C000868	DIFF
C000869	DIFFERENTIATION
C000870	DIFFERENTIATION_SCORE
C000871	DIFFUSE_ARCHITECTURE
C000872	DISCONTINUOUS_LESIONS_COUNT
C000873	DISEASE_AT_DIAGNOSIS
C000874	DISEASE_CLASSIFICATION
C000875	DISEASE_CODE
C000876	DISEASE_DETECTED_ON_SCREENING
C000877	DISEASE_EXTENT
C000878	DISEASE_MULTIFOCAL_INDICATOR
C000879	DISEASE_ONTOLOGY
C000880	DISEASE_RECURRENCE_OR_PERSISTENCE
C000881	DISEASE_SPECIFIC_FU
C000882	DISEASE_STAGE
C000883	DISEASE_STATE_TIME_OF_COLLECTION
C000884	DISEASE_STATUS
C000885	DISTANCE_FROM_ANAL_VERGE
C000886	DISTANT_METASTASIS_PATHOLOGIC_SPREAD
C000887	DISTANT_METS
C000888	DISTANT_MET_CHEMO_IMMUNO
C000889	DISTANT_RECURRENCE
C000890	DISTANT_RECURRENCE_NUM
C000891	DISTANT_RECURRENCE_SITE
C000892	DISTANT_RFS_MONTHS
C000893	DM_AT_PRESENTATION
C000894	DM_SITE_CODE
C000895	DNA_INDEX
C000896	DNA_INPUT
C000897	DNA_METHYLATION_CLUSTER_EC
C000898	DNA_METHYLATION_CLUSTER_GEA
C000899	DNA_METHYLATION_CLUSTER_GEA_CIN
C000900	DNA_METHYLATION_CLUSTER_SCC
C000901	DNA_REPAIR_STATUS
C000902	DOCE
C000903	DOD
C000904	DOMAIN
C000905	DONOR_SOURCE
C000906	DOPAMINE
C000907	DOSAGE
C000908	DOUBLING_TIME
C000909	DRFS_MONTHS
C000910	DRFS_STATUS
C000911	DRINKER
C000912	DRIVER_MUTATIONS
C000913	DRIVER_MUTATIONS_DETAILED
C000914	DSS_MONTHS
C000915	DSS_STATUS
C000916	DUPLICATION_NUM
C000917	DURABLE_CLINICAL_BENEFIT
C000918	DURATION
C000919	DURATION_OF_ADJUVANT_NEOADJUVANT_TX
C000920	DURATION_OF_IBD_AT_DIAGNOSIS
C000921	DURATION_OF_THERAPY_DAYS
C000922	DURATION_OF_THERAPY_WEEKS
C000923	DURLASTFU
C000924	DX_BIOPSY_LOCATION
C000925	DX_CEP17_COPY
C000926	DX_ER
C000927	DX_GRADE
C000928	DX_HER2FISH
C000929	DX_HER2IHC
C000930	DX_HER2OVERALL
C000931	DX_HER2_COPY
C000932	DX_HER2_RATIO
C000933	DX_HISTOLOGY
C000934	DX_LOCATION
C000935	DX_PERCENT_ER
C000936	DX_PERCENT_PR
C000937	DX_PR
C000938	DX_SIDEDNESS
C000939	DX_STAGE
C000940	DX_TO_IMPACT_EXTENT_MONTHS
C000941	DX_TYPE
C000942	DYSPLASIA
C000943	E2A_STATUS
C000944	EASTERN_CANCER_ONCOLOGY_GROUP
C000945	EBV_POSITIVE
C000946	EBV_POSITIVE_MALIGNANT_CELLS_PERCENT
C000947	EBV_PRESENT
C000948	EBV_STATUS
C000949	EBV_STATUS_MALIGNANT_CELLS_METHOD
C000950	EBV_TESTED
C000951	EC
C000952	ECE
C000953	ECE_BINARY
C000954	ECOG_AT_STAGE_4_DX
C000955	ECOG_SCORE
C000956	ECOG_STATUS
C000957	ECSMG
C000958	ECZEMA_HISTORY
C000959	EDMONDSON_GRADE
C000960	EFSCENS
C000961	EFS_EVENT_TYPE_ID
C000962	EFS_MONTHS
C000963	EFS_STATUS
C000964	EFS_TIME
C000965	EF_DAYS_DISEASE
C000966	EF_DAYS_METASTASIS
C000967	EGD
C000968	EGF1
C000969	EGF2
C000970	EGLN1_GERMLINE
C000971	ELN_GENETIC_RISK
C000972	EMBOLIZATION
C000973	EMT_SCORE
C000974	ENCAPSULATION
C000975	ENETS_STAGING
C000976	ENETS_T_STAGING
C000977	ENROLLMENT_ON_CLINICAL_TRIAL_BASED_ON_IMPACT
C000978	EOSINOPHILS
C000979	EPAS1_SOMATIC
C000980	EPIGENETIC
C000981	EPINEPHRINE
C000982	EPITHELIAL
C000983	EPITHELIOID_PERCENT_OF_TUMOR
C000984	ERBB_PATHWAY_MUTATION
C000985	ERG_EXPRESSION
C000986	ERG_FISH_RESULT
C000987	ERG_FUSION_ACGH
C000988	ERG_FUSION_GEX
C000989	ERG_FUSION_RNASEQ
C000990	ERG_FUSION_STATUS
C000991	ERG_IHC
C000992	ERG_NANOSTRING
C000993	ERG_STATUS
C000994	ERK_SCORE
C000995	ERROR_PERCENT
C000996	ERYTHROCYTE_SEDIMENTATION_RATE
C000997	ER_EXPR
C000998	ER_IHC
C000999	ER_POSITIVITY_METHOD
C001000	ER_POSITIVITY_SCALE_OTHER
C001001	ER_POSITIVITY_SCALE_USED
C001002	ER_PR_STATUS
C001003	ER_STATUS
C001004	ER_STATUS_BY_IHC
C001005	ER_STATUS_IHC_PERCENT_POSITIVE
C001006	ER_STATUS_METASTASIS
C001007	ER_STATUS_PRIMARY
C001008	ESOPHAGEAL_TUMOR_LOCATION_CENTERED
C001009	ESOPHAGEAL_TUMOR_LOCATION_EPC
C001010	ESOPHAGEAL_TUMOR_LOCATION_INVOLVED
C001011	ESOPH_COLUMNAR_METAPLASIA_INDICATOR
C001012	ESOPH_NON_CA_DEGREE_OF_DYSPLASIA
C001013	ESTIMATED_LEUKOCYTE_PERCENTAGE
C001014	ESTIMATE_COMBINED_SCORE
C001015	ESTIMATE_IMMUNE_SCORE
C001016	ESTIMATE_SCORE
C001017	ESTIMATE_STROMAL_SCORE
C001018	EST_TUMOR_CELLULARITY
C001019	ETE
C001020	ETE_STATUS
C001021	ETHNICITY
C001022	ETHNICITY_NAACCR
C001023	ETIOLOGY
C001024	ETOH
C001025	ETS
C001026	ETS_FUSION_SEQ
C001027	ETS_RAF_SPINK1_STATUS
C001028	ETV1_EXPRESSION
C001029	ETV1_FUSION
C001030	ETV1_STATUS
C001031	ETV4_EXPRESSION
C001032	ETV4_FUSION
C001033	ETV4_STATUS
C001034	ETV6_RUNX1_FUSION_STATUS
C001035	EVENT_DETAILS
C001036	EVENT_STATUS_FOR_DFS
C001037	EVENT_TYPE
C001038	EVENT_TYPE_DETAILED
C001039	EVER_METS_SITES
C001040	EVIDENCE_FOR_LOSS_OF_HER2
C001041	EXCESSIVE_FRAME_SHIFT_DELETIONS
C001042	EXOME
C001043	EXOME_CAPTURE
C001044	EXOME_SAMPLE_ID
C001045	EXOME_SEQ
C001046	EXOME_SEQUENCED_IN_BARBIERI_ET_AL_2012
C001047	EXON_IMBALANCE_SCORE
C001048	EXP
C001049	EXPOSURE
C001050	EXPRESSION_SUBTYPE
C001051	EXP_SAMPLE_ID
C001052	EXTENSION
C001053	EXTENSIVE_LOCAL_INVASION
C001054	EXTENT_OF_METS
C001055	EXTRACAPSULAR_EXTENSION
C001056	EXTRACAPSULAR_EXTENSION_PRESENT
C001057	EXTRACAPSULAR_SPREAD
C001058	EXTRACAPSULAR_SPREAD_PATHOLOGIC
C001059	EXTRAHEPATIC_DISEASE
C001060	EXTRAHEPATIC_DISEASE_PRE_PUMP
C001061	EXTRAHEPATIC_DISEASE_SITE
C001062	EXTRANOCULAR_NODULE_SIZE
C001063	EXTRANODAL_INVOLVEMENT
C001064	EXTRANODAL_INVOLVEMENT_SITE
C001065	EXTRANODAL_INVOLVMENT_OTHER
C001066	EXTRANODAL_LYMPHOMATOUS_INVOLVEMENT
C001067	EXTRAPROSTATIC_EXTENSION
C001068	EXTRASCLERAL_EXTENSION
C001069	EXTRATHYROIDAL_EXTENSION
C001070	EXTRAVASCULAR_MATRIX_PATTERNS
C001071	EXTRA_PANC_SPREAD
C001072	EXT_SLIDES_DES
C001073	EYE_COLOR
C001074	E_CIMP
C001075	FAB
C001076	FACETS
C001077	FACETS_PLOIDY
C001078	FACETS_PURITY
C001079	FAM175A_CNA
C001080	FAMILIAL_SYNDROME
C001081	FAMILY_HISTORY
C001082	FAMILY_HISTORY_CANCER_NUMBER_RELATIVES
C001083	FAMILY_HISTORY_CANCER_RELATIONSHIP
C001084	FAMILY_HISTORY_CANCER_TYPE
C001085	FAMILY_HISTORY_CANCER_TYPE_OTHER
C001086	FAMILY_HISTORY_ESOPH_GASTIC_CANCER
C001087	FAMILY_HISTORY_OF_CANCER
C001088	FAMILY_HISTORY_OF_PRIMARY_BRAIN_TUMOR
C001089	FAMILY_HISTORY_OF_RENAL_CELL_CARCINOMA
C001090	FAMILY_HISTORY_OF_STOMACH_CANCER
C001091	FAMILY_HISTORY_OF_THYROID_CANCER
C001092	FAMILY_HISTORY_OTHER_CANCER
C001093	FAMILY_HISTORY_PRAD
C001094	FAMILY_HISTORY_TESTICULAR_CANCER
C001095	FAMILY_HISTORY_THYROID_CANCER
C001096	FANCC_CNA
C001097	FANCC_MUT
C001098	FANCD2_CNA
C001099	FANCD2_MUT
C001100	FBXW7_MUTATION_STATUS
C001101	FEDPET_OR_CT_RESULTS
C001102	FEMALE_BREAST_FEEDING_OR_PREGNANCY_STATUS_INDICATOR
C001103	FEV1_FVC_RATIO_POSTBRONCHOLIATOR
C001104	FEV1_FVC_RATIO_PREBRONCHOLIATOR
C001105	FEV1_PERCENT_REF_POSTBRONCHOLIATOR
C001106	FEV1_PERCENT_REF_PREBRONCHOLIATOR
C001107	FGA
C001108	FGF1
C001109	FGF2
C001110	FGFR1_FISH
C001111	FGFR1_MUTATION
C001112	FGFR1_SOMATIC
C001113	FGFR2_MUTATION_STATUS
C001114	FGFR_ABNORMALITY
C001115	FIBER_PER_GM_IN_LUNG
C001116	FIGURE_1A
C001117	FIGURE_1B
C001118	FIGURE_2
C001119	FIGURE_3
C001120	FIGURE_4A
C001121	FIGURE_4B
C001122	FINAL_GRADE
C001123	FIRST_ADJUVANT_TX_TYPE
C001124	FIRST_CYCLE_XRT
C001125	FIRST_DIAGNOSIS_AGE_ASTH_ECZ
C001126	FIRST_DIAGNOSIS_AGE_OF_ANIMA
C001127	FIRST_DIAGNOSIS_AGE_OF_FOOD_ALLERGY
C001128	FIRST_DISTANT_RECURRENCE_SITE
C001129	FIRST_EVENT
C001130	FIRST_LINE_THERAPY
C001131	FIRST_MET_TX_TYPE
C001132	FIRST_PRESENTING_SYMPTOM
C001133	FIRST_PRESENTING_SYMPTOM_LON
C001134	FIRST_RECURRENCE_RESECTABLE_FOR_NED
C001135	FIRST_SITE_OF_METS
C001136	FIRST_SITE_OF_MET_DETAILED
C001137	FIRST_SURGICAL_PROCEDURE_OTHER
C001138	FIRST_SYMPTOM_LONGEST_DURATION
C001139	FIRST_SYSTEMIC_GIVEN_WITH_PUMP
C001140	FIRST_TREATMENT_SUCCESS
C001141	FISH_AR
C001142	FISH_TRANSLOCATION
C001143	FLI1_EXPRESSION
C001144	FLI1_STATUS
C001145	FLOWCELL_ANALYSIS
C001146	FLOW_ABNORMAL_BLAST
C001147	FLT3_ITD_ALLELIC_RATIO
C001148	FLT3_ITD_POSITIVE
C001149	FLT3_NEGATIVE
C001150	FLT3_PM
C001151	FLT3_POSITIVE
C001152	FMI_CASE_ID
C001153	FNCLCC_GRADE
C001154	FOCAL_DRIVER_CN
C001155	FOCAL_LESIONS_AT_RELAPSE
C001156	FOLLICULAR_COMPONENT_PERCENT
C001157	FOLLOWUP_LENGTH
C001158	FOLLOWUP_TIME_FROM_START_OF_CHEMO
C001159	FOLLOWUP_TREATMENT_SUCCESS
C001160	FOLLOWUP_YEARS
C001161	FOLLOW_UP_TIME_MONTHS
C001162	FOOD_ALLERGY_AGE
C001163	FOOD_ALLERGY_HISTORY
C001164	FOOD_ALLERGY_TYPES
C001165	FORM_COMPLETION_DATE
C001166	FOXA1_MUTATION
C001167	FPSA_PSA
C001168	FRACTION_CNA
C001169	FRACTION_GENOME_ALTERED
C001170	FRAMESHIFT_DELETION
C001171	FRAMESHIFT_INSERTION
C001172	FUHRMAN_GRADE
C001173	FUNCTIONAL
C001174	FUPTIME
C001175	FUPTIME_MONTHS
C001176	FUSED_EXONS
C001177	FUSION
C001178	FUSION_BY_RNA_PCR
C001179	FUSION_OTHER
C001180	FUSION_STATUS
C001181	GAIN_8Q
C001182	GALLBLADDER_STONES
C001183	GASTRECTOMY
C001184	GASTRIC_CLASSIFICATION
C001185	GCLID
C001186	GEA
C001187	GEACIN
C001188	GEACINSMG
C001189	GEAGEJ
C001190	GEASMG
C001191	GEA_CIN_INTEGRATED_CLUSTER_COCA
C001192	GEA_CIN_INTEGRATED_CLUSTER_CONSENSUS
C001193	GEA_CIN_INTEGRATED_CLUSTER_ICLUSTER
C001194	GEA_CIN_INTEGRATED_CLUSTER_MKL_KNN_4
C001195	GEA_CIN_INTEGRATED_CLUSTER_MKL_KNN_7
C001196	GEA_CIN_INTEGRATED_CLUSTER_SUPERCLUSTER
C001197	GEA_CIN_INTEGRATED_CLUSTER_VOTING
C001198	GEJ_CATEGORY
C001199	GEJ_CATEGORY_DICHOTOMIZED
C001200	GEJ_CATEGORY_DICHOTOMIZED_GEA_CIN_SAMPLES
C001201	GENDER
C001202	GENDER_CODE
C001203	GENE
C001204	GENETIC_ABNORMALITY_METHOD_OTHER
C001205	GENETIC_ABNORMALITY_RESULTS
C001206	GENETIC_ABNORMALITY_TESTED
C001207	GENETIC_ABNORMALITY_TESTED_OTHER
C001208	GENETIC_MODIFICATION
C001209	GENE_EXPRESSION_CLUSTER
C001210	GENE_EXPRESSION_CLUSTER_EC
C001211	GENE_EXPRESSION_CLUSTER_GEA
C001212	GENE_EXPRESSION_CLUSTER_GEA_CIN
C001213	GENE_EXPRESSION_CLUSTER_SCC
C001214	GENE_EXPRESSION_PROFILE
C001215	GENE_PANEL
C001216	GENIE_BIRTH_YEAR
C001217	GENOME_DOUBLED
C001218	GENOME_DOUBLINGS
C001219	GENOMIC_ALTERATIONS
C001220	GENOMIC_BIOPSY
C001221	GENOMIC_BURDEN
C001222	GENOTYPIC_ANALYSIS_DETECTED
C001223	GENOTYPIC_ANALYSIS_RESULTS_OTHER
C001224	GENOTYPING_RESULTS_GENE_MUTATION_NOT_REPORTED_REASON
C001225	GEOGRAPHIC_DISTRIBUTION
C001226	GERMLINE_CONTROL
C001227	GERMLINE_MUTKNOWN_BRCA1
C001228	GERMLINE_MUTKNOWN_BRCA2
C001229	GERMLINE_MUTKNOWN_OTHER
C001230	GERMLINE_MUTKNOWN_PALB2
C001231	GERMLINE_MUT_GENES_VARIANT
C001232	GERMLINE_TESTED
C001233	GERMLINE_TYPE
C001234	GLEASON_PATTERN_PRIMARY
C001235	GLEASON_PATTERN_SECONDARY
C001236	GLEASON_PATTERN_TERTIARY
C001237	GLEASON_SCORE
C001238	GLEASON_SCORE_1
C001239	GLEASON_SCORE_2
C001240	GLEASON_SCORE_PERCENT_4_AND_5
C001241	GLI2_AMPLIFICATION
C001242	GMED_OS_MONTHS
C001243	GORLIN_SPORADIC
C001244	GRADE
C001245	GRADE_TIER_SYSTEM
C001246	GREATER_THAN_3_SITES
C001247	GROUP
C001248	GROWTH_PATTERN
C001249	GTF2I_MUTATION_STATUS
C001250	GUAIAC_POSITIVE_STOOL_WEEKS
C001251	G_CIMP_METHYLATION
C001252	G_LOH
C001253	HAE
C001254	HARVEST_DATE
C001255	HAS_MATCHED_NORMAL
C001256	HAS_OTHER_CANCER
C001257	HAS_OTHER_KIDNEY_CONDITION
C001258	HAY_FEVER_HISTORY
C001259	HBV
C001260	HBV_CONSENSUS
C001261	HCV
C001262	HCV_CONSENSUS
C001263	HD_CHEMO_AUTO_SCT
C001264	HEADACHE_HISTORY
C001265	HEAD_VS_BODY_TAIL_PRIMARY_PANCREAS
C001266	HEAVY_CHAIN
C001267	HEIGHT
C001268	HEIGHT_M
C001269	HEMOGLOBIN_LEVEL
C001270	HEMORRHOIDS
C001271	HEPATIC_INFLAMMATION_ADJUVANT_TISSUE
C001272	HEPATIC_INFLAMMATION_ADJ_TISSUE
C001273	HEPATIC_VEIN_INVASION
C001274	HEPATITIS_B_POSITIVE_CUTOFF_RPM_POS_1_2
C001275	HEPATITIS_C_POSITIVE_CUTOFF_RPM_POS_1_2
C001276	HER2N
C001277	HER2NEU
C001278	HER2_AMPLIFICATION_STATUS
C001279	HER2_AND_CENT17_CELLS_COUNT
C001280	HER2_AND_CENT17_SCALE_OTHER
C001281	HER2_CENT17_COUNTED_CELLS_COUNT
C001282	HER2_CENT17_RATIO
C001283	HER2_COPY_NUMBER
C001284	HER2_DETAILS
C001285	HER2_DISCOVERY_BESTSAMPLE
C001286	HER2_DISCOVERY_PREORPOST
C001287	HER2_DISCOVERY_VALIDATION
C001288	HER2_EXPR
C001289	HER2_FISH
C001290	HER2_FISH_METHOD
C001291	HER2_FISH_METS
C001292	HER2_FISH_PRIMARY
C001293	HER2_FISH_RATIO_METS
C001294	HER2_FISH_RATIO_PRIMARY
C001295	HER2_FISH_STATUS
C001296	HER2_IHC_METS
C001297	HER2_IHC_OR_FISH
C001298	HER2_IHC_PERCENT_POSITIVE
C001299	HER2_IHC_PRIMARY
C001300	HER2_IHC_SCORE
C001301	HER2_IHC_VALUE_METS
C001302	HER2_IHC_VALUE_PRIMARY
C001303	HER2_IMPACT
C001304	HER2_IMPACT_LR
C001305	HER2_NOTES
C001306	HER2_POSITIVITY_METHOD_TEXT
C001307	HER2_POSITIVITY_SCALE_OTHER
C001308	HER2_RATIO
C001309	HER2_RESPONSE
C001310	HER2_SNP6
C001311	HER2_STATUS
C001312	HER2_STATUS_METASTASIS
C001313	HER2_STATUS_PRIMARY
C001314	HER2_STATUS_REPORTED
C001315	HER2_TTP_ON_1ST_LINE_MONTHS
C001316	HER2_TX_STATUS
C001317	HER2_VITAL_STATUS
C001318	HGB_G_DL
C001319	HGF1
C001320	HGF2
C001321	HHV_8_STATUS
C001322	HIGHEST_ACTIONABLE_LEVEL
C001323	HISPANIC
C001324	HISTOLOGICAL_COMPONENT_SEQUENCED
C001325	HISTOLOGICAL_DIAGNOSIS
C001326	HISTOLOGICAL_SUBTYPE
C001327	HISTOLOGICAL_TYPE
C001328	HISTOLOGICAL_TYPE_ESOPHAGUS
C001329	HISTOLOGICAL_TYPE_OTHER
C001330	HISTOLOGIC_DIAGNOSIS_PERCENT
C001331	HISTOLOGIC_RESPONSE
C001332	HISTOLOGY
C001333	HISTOLOGY_CLASSIFICATION_IN_PRIMARY_TUMOR
C001334	HISTOLOGY_EPC_2CLASS
C001335	HISTOLOGY_EPC_EMBRYONAL_CARCINOMA_NON_SEMINOMA
C001336	HISTOLOGY_EPC_MULTICLASS
C001337	HISTOLOGY_EPC_NON_SEMINOMA
C001338	HISTOLOGY_EPC_NON_SEMINOMA_CHORIOCARCINOMA
C001339	HISTOLOGY_EPC_NON_SEMINOMA_TERATOMA_IMMATURE
C001340	HISTOLOGY_EPC_NON_SEMINOMA_TERATOMA_MATURE
C001341	HISTOLOGY_EPC_NON_SEMINOMA_YOLK_SAC_TUMOR
C001342	HISTOLOGY_EPC_SEMINOMA
C001343	HISTOLOGY_FOR_CALC
C001344	HISTOLOGY_MULTIVARIATE_ANALYSIS
C001345	HISTOLOGY_OF_NEW_TUMOR_EVENT
C001346	HISTOLOGY_OF_PRIMARY_MSKCC
C001347	HISTOLOGY_OF_PRIMARY_TURIN
C001348	HISTONE_RELATED_GENES
C001349	HISTOPATHOLOGY
C001350	HISTORICAL_PATIENTS
C001351	HISTORY_ADRENAL_HORMONE_EXCESS
C001352	HISTORY_ASBESTOS_EXPOSURE
C001353	HISTORY_BARRETTS_ESOPHAGEAL_INDICATOR
C001354	HISTORY_BASIS_ADRENAL_HORMONE_DX
C001355	HISTORY_CHRONIC_PANCREATITIS
C001356	HISTORY_CHRONIC_PANCREATITIS_DAYS_TO
C001357	HISTORY_COLORECTAL_CANCER
C001358	HISTORY_FERTILITY
C001359	HISTORY_HEPATO_CARCINOMA_RISK_FACTORS
C001360	HISTORY_HORMONAL_CONTRACEPTIVES_USE
C001361	HISTORY_HYPOSPADIAS
C001362	HISTORY_IF_BARRETTS_GOBLET_CELL_INDICATOR
C001363	HISTORY_IMMUNOLOGICAL_DISEASE
C001364	HISTORY_IMMUNOLOGICAL_DISEASE_OTHER
C001365	HISTORY_IMMUNOSUPPRESIVE_DX
C001366	HISTORY_IMMUNOSUPPRESIVE_DX_OTHER
